UserID,SessionID,Version,Date,TimeSpent,PagesViewed,ActionsTaken,ProductViewed,ProductAdded,CheckoutInitiated,PurchaseMade,FeedbackSubmitted,VideoWatched,ReferralSource,Rating
1,25795,A,2024-04-03,350.09156056307654,16,5,Product 1,False,True,True,False,True,Direct,4.246516324409715
2,10860,A,2024-04-02,320.02514784313854,5,7,Product 3,True,True,True,False,True,Direct,4.866873582799179
3,86820,B,2024-04-01,206.07392896645288,2,1,Product 3,False,False,True,True,True,Search Engine,2.865148530006701
4,64886,B,2024-03-31,215.70113012430573,2,2,Product 3,True,True,True,False,False,Direct,2.3720168637119903
5,16265,B,2024-03-30,157.44827391452162,1,4,Product 3,True,True,False,False,False,Social Media,2.5988255604932657
6,92386,A,2024-03-29,246.50287243024414,9,6,Product 3,True,False,True,True,True,Search Engine,4.673944449073024
7,47194,B,2024-03-28,82.2148254936321,1,4,Product 1,True,False,False,False,True,Social Media,3.0865749514269747
8,97498,A,2024-03-27,378.7293178881171,9,6,Product 1,True,True,False,False,False,Social Media,4.83962449586156
9,54131,B,2024-03-26,294.3812560313002,9,8,Product 3,True,False,False,True,False,Direct,3.9626565822768853
10,70263,A,2024-03-25,251.7392961624726,14,7,Product 3,True,False,True,False,False,Direct,4.92308581923943
11,26023,A,2024-03-24,206.22621186011776,19,5,Product 1,False,True,True,False,False,Social Media,4.274572695679597
12,51090,A,2024-03-23,335.7067299710807,7,2,Product 2,True,False,True,False,True,Direct,4.5774094482938175
13,77221,A,2024-03-22,240.65067937060718,13,1,Product 1,True,True,True,False,False,Social Media,4.973935574104427
14,74820,B,2024-03-21,185.40601970914904,5,7,Product 1,True,True,False,False,True,Social Media,3.219962985628943
15,10769,B,2024-03-20,241.57713325362667,5,4,Product 1,True,True,False,True,True,Search Engine,3.7247607690485482
16,69735,A,2024-03-19,306.0630331174592,18,1,Product 1,False,True,False,False,False,Social Media,4.625397629880412
17,72955,B,2024-03-18,225.80815114632347,8,6,Product 1,True,True,False,False,True,Social Media,2.545843455065474
18,74925,A,2024-03-17,353.271236179879,19,5,Product 2,False,False,False,False,False,Direct,4.882648763819504
19,77969,B,2024-03-16,243.93670865015952,3,8,Product 3,True,False,True,False,True,Search Engine,3.516152794584147
20,15311,B,2024-03-15,172.42497970051699,6,5,Product 3,True,True,False,False,False,Direct,2.3851521946936804
21,93104,B,2024-03-14,147.4948215266666,3,4,Product 2,True,False,False,False,False,Search Engine,3.995300676750947
22,63707,A,2024-03-13,277.11405259805906,9,10,Product 3,True,True,True,False,True,Direct,4.977388943208241
23,95305,B,2024-03-12,192.4312961016184,2,7,Product 3,True,True,True,False,False,Social Media,2.4017414713833154
24,38693,B,2024-03-11,177.07243648770114,1,4,Product 3,False,False,False,False,True,Search Engine,3.2699030315219635
25,81932,A,2024-03-10,339.05876681437996,7,8,Product 2,True,True,False,False,False,Search Engine,4.0320645214841715
26,35658,A,2024-03-09,289.2305855569962,14,5,Product 2,True,True,True,False,True,Search Engine,4.091250569282245
27,94478,B,2024-03-08,299.0775125024468,4,5,Product 3,True,False,True,True,False,Search Engine,3.0848916121544137
28,28431,B,2024-03-07,123.01702905235558,8,5,Product 3,True,True,False,False,True,Direct,3.8648919113700293
29,12747,B,2024-03-06,222.31474016514878,9,2,Product 3,True,False,False,False,True,Direct,2.723599359726113
30,69150,B,2024-03-05,159.02156277133358,4,3,Product 1,True,True,True,False,True,Search Engine,3.129698341999149
31,75725,B,2024-03-04,152.75456386574666,8,4,Product 1,True,True,False,False,True,Search Engine,2.8239193597915975
32,94654,A,2024-03-03,332.2898820801856,1,9,Product 1,True,True,False,False,False,Search Engine,4.937816965232562
33,45773,A,2024-03-02,260.17596907508187,15,0,Product 2,True,True,True,False,False,Direct,4.510515093388649
34,77435,A,2024-03-01,226.34621784676932,16,5,Product 3,False,True,False,False,False,Search Engine,4.262814274552942
35,66886,B,2024-02-29,137.8242163837954,2,5,Product 2,True,True,False,False,True,Search Engine,3.0604388136342005
36,76803,A,2024-02-28,264.08234805846786,6,5,Product 2,True,False,False,True,True,Search Engine,4.140267213459169
